word,pos,translation,tag,bnc,frq,exchange
lesson,,"n. 课, 课业, 教训",zk gk,1953,1325,s:lessons
let,,"vt. 让, 假设, 出租, 排放, 妨碍\nvi. 出租, 被承包\nn. 出租屋, 障碍",zk gk ielts,320,159,i:letting/d:let/0:let/1:dp/p:let/3:lets
letter,,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人\nvt. 写字母于, 在...上刻字母, 用字母标明\nvi. 写印刷体字\n[计] 字母",zk gk ielts,454,628,s:letters/p:lettered/i:lettering/3:letters/d:lettered
level,,"n. 水平, 水准, 平地\na. 同高的, 平坦的, 齐平的, 水平的\nvt. 弄平, 夷平, 使同等, 瞄准, 对准\nvi. 变平, 拉平\n[计] 级别",zk gk cet4 cet6 ky ielts,241,338,s:levels/d:levelled/p:levelled/i:levelling/3:levels
liberation,,"n. 释放, 解放\n[化] 发出; 释放; 放出",gk cet4 cet6,3880,6230,
liberty,,"n. 自由, 特权, 许可, 冒失\n[法] 自由, 自由权, 自由区域",gk cet4 cet6 ky toefl gre,3629,3835,s:liberties
librarian,,"n. 图书馆员, 图书管理员\n[计] 程序库管理程序; 程序库生成程序",gk cet4 cet6 ky toefl,4647,7502,s:librarians
library,,"n. 图书馆, 藏书, 库\n[计] 库",zk gk ielts,967,2129,s:libraries
license,,"n. 执照, 许可证, 特许\nvt. 许可, 特许",zk gk cet4 cet6 ky gre,6660,2872,d:licensed/i:licensing/s:licenses/3:licenses/p:licensed
lid,,"n. 盖子, 限制, 眼睑\nvt. 给...盖盖子",gk cet4 cet6 ky,4537,4658,s:lids/p:lidded
lie,,"n. 谎言, 假象, 位置\nvi. 躺着, 说谎, 位于, 展现, 存在, 停泊\nvt. 谎骗",zk gk,483,751,p:lay/i:lying/3:lies/s:lies/d:lain
life,,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑\n[医] 生活, 生存, 生命, 寿命",zk gk,128,114,s:lives
lifetime,,"n. 一生, 终生\na. 一生的, 终生的",gk cet4 cet6 ky,3623,2767,s:lifetimes
lift,,"n. 举起, 帮助, 昂扬, 电梯\nvt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃\nvi. 升起, 消散, 耸立",zk gk cet4 ky toefl ielts,1345,1343,p:lifted/d:lifted/i:lifting/s:lifts/3:lifts
light,,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光\na. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的\nvt. 点燃, 照亮\nvi. 点着, 变亮, 突降, 偶然碰到\nadv. 轻地",zk gk ielts,529,464,s:lights/p:lit/d:lit/r:lighter/i:lighting/t:lightest/3:lights
lightning,,n. 闪电\nvi. 闪电\na. 闪电的,gk cet4 cet6 ky,6393,4562,s:lightnings
like,,"a. 相似的, 同样的\nvt. 喜欢, 愿意, 想\nvi. 喜欢, 希望\nn. 爱好, 同样的人(或物)\nprep. 象, 如同\nadv. 可能",zk gk,88,74,p:liked/3:likes/d:liked/s:likes/i:liking
likely,,"a. 有可能的, 合适的, 前途有望的\nadv. 或许, 可能",gk cet4 cet6 ky,422,624,t:likeliest
limit,,"n. 界限, 边界, 限度, 极限, 限制\nvt. 限制, 限定",gk cet4 cet6 ky,1439,1348,s:limits/d:limited/3:limits/i:limiting/p:limited
limited,,"a. 有限制的, 有限的, 有限责任的\nn. 特别快车",cet4 cet6 ky gre,1481,1982,0:limit/1:dp/d:limited/p:limited
line,,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系\nvt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹\nvi. 排队\n[计] 线路",zk gk cet4 cet6 ky ielts,277,276,s:lines/d:lined/i:lining/p:lined/3:lines
link,,"n. 环, 连结物, 链接, 火把\nvt. 连结, 联合, 挽住\nvi. 连接起来\n[计] 连接, 链路",gk cet4 cet6 ky ielts,1277,1730,d:linked/s:links/i:linking/3:links/p:linked
lion,,"n. 狮子, 狮子(星)座, 国际狮子会会员",zk gk cet4 cet6 ky,3397,4305,s:lions
lip,,"n. 唇, 口缘, 唇状构造\nvt. 以嘴唇碰, 轻轻说出\na. 口头上的\n[计] 大型互连网信息包",gk cet4 cet6 ky toefl,1452,1582,s:lips/d:lipped
liquid,,"n. 液体, 流体, 流音\na. 液体的, 透明的, 明亮的, 流动的, 易变的",gk cet4 cet6 ky toefl gre,4339,4360,s:liquids
list,,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单\nvt. 列出, 列于表上, 记入名单内, 装布条\nvi. 列于表上\n[计] 列表, 序列, 数据清单",zk gk cet4 cet6 ky ielts gre,716,761,s:lists/d:listed/p:listed/3:lists/i:listing
listen,,"vi. 听, 倾听, 听从\nn. 听, 倾听",zk gk,850,609,p:listened/i:listening/d:listened/3:listens
literally,,"adv. 逐字地, 按照字面上地, 不夸张地",cet6 ky toefl ielts,3512,2469,
literary,,"a. 文学的, 文艺的, 精通文学的\n[法] 文学的, 从事文学的, 从事写作的",gk cet4 cet6 ky toefl,2512,2700,
literature,,"n. 文学, 文艺, 著作\n[经] 广告, 商品介绍等文学",gk cet4 cet6 ky ielts,1766,1549,s:literatures
litter,,"n. 垃圾, 杂乱, 轿, 担架\nvt. 乱丢, 铺草, 弄乱\nvi. 产仔, 乱丢垃圾",zk gk cet6 ky toefl ielts gre,6500,8093,d:littered/s:litters/p:littered/i:littering/3:litters
little,,"n. 一点点, 少许, 一会儿, 短时间\na. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的\nadv. 很少, 稍微, 完全不",zk gk,291,256,
live,,"a. 活的, 生动的, 精力充沛的, 实况转播的\nvi. 活, 生存, 居住\nvt. 过着, 度过, 经历\nadv. 实况地",zk gk ielts,267,210,p:lived/i:living/3:lives/d:lived/s:lives
lively,,"a. 活泼的, 鲜明的, 生动的",zk gk cet4 cet6 ky toefl,4135,5775,r:livelier/t:liveliest
living,,"n. 生活, 生计, 生存\na. 活的, 逼真的, 现存的",gk cet4 cet6 ky,1950,1329,0:live/1:i/i:living/s:livings
load,,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载\nvt. 装载, 装填, 使担负\nvi. 装货, 上客, 装料\n[计] 加载, 装入程序",gk cet4 cet6 ky toefl,2212,2901,s:loads/d:loaded/i:loading/p:loaded/3:loads
loan,,"n. 贷款, 借出\nv. 借, 供应货款, 借给",cet4 cet6 ky toefl ielts,1468,1699,s:loans/d:loaned/p:loaned/i:loaning/3:loans
local,,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的\nn. 当地居民, 本地新闻, 局部\n[计] 本地的; 局部",gk cet4 cet6 ky ielts,191,423,s:locals
location,,"n. 位置, 场所, 特定区域\n[计] 位置",cet4 cet6 ky toefl ielts,1705,1433,s:locations
lock,,"n. 锁, 刹车, 水闸, 一缕头发\nvt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住\nvi. 锁住, (齿轮等)啮合, (船)过闸",zk gk cet4 ky ielts,2332,2221,d:locked/s:locks/p:locked/i:locking/3:locks
log,,"n. 记录, 圆木, 日志, 计程仪\nvt. 伐木, 切, 航行\nvi. 伐木\n[计] 日志",cet4 cet6 ky toefl ielts gre,4322,3423,s:logs/d:logged/i:logging/p:logged/3:logs
logical,,"a. 合乎逻辑的, 合理的\n[法] 逻辑的, 符合逻辑的",cet4 cet6 ky toefl,3188,4569,s:logicals
london,,n. 伦敦,zk gk ielts,248,0,
lonely,,"a. 孤单的, 孤寂的, 荒凉的",zk gk cet4 cet6 ky,3842,4002,t:loneliest/r:lonelier
long,,"a. 长的, 长久的, 冗长的, 做多头的\nvi. 渴望, 热望, 极想\nadv. 长久, 始终\nn. 长时间, 长信号, 长整型\n[计] 长, 长整型",zk gk toefl,217,254,r:longer/t:longest/p:longed/i:longing/d:longed/3:longs
look,,"n. 一看, 神色, 样子, 面容\nvi. 看, 注意, 朝着, 显得\nvt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待",zk gk,82,85,p:looked/i:looking/3:looks/d:looked/s:looks
loose,,"n. 发射, 放任, 放纵\na. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的\nvt. 释放, 放枪, 开船\nvi. 变松, 开火\nadv. 松散地",gk cet4 cet6 ky toefl,2925,2851,p:loosed/i:loosing/d:loosed/3:looses
lorry,,"n. 卡车, 货车\n[化] 载重汽车",gk cet4 cet6 ky,3524,24926,s:lorries
lose,,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于\nvi. 受损失, 失败",zk gk cet4 cet6 ky,329,283,d:lost/p:lost/i:losing/3:loses
loss,,"n. 损失, 遗失, 失败, 输, 错过, 伤亡\n[化] 损失; 损耗",gk cet4 cet6 ky ielts,649,788,s:losses
lot,,"n. 运气, 签, 抽签, 份额, 许多, 一堆\nvt. 划分\nvi. 抽签, 抓阄",zk gk gre,374,238,i:lotting/p:lotted/3:lots/d:lotted
loud,,"a. 大声的, 不断的, 喧吵的\nadv. 高声地, 大声地",zk gk cet4 ky,3207,3094,r:louder/t:loudest
lounge,,"n. 闲逛, 休闲室, 长沙发\nvi. 闲混, (懒洋洋地)躺\nvt. 闲混",gk cet6 ky ielts gre,4410,5990,s:lounges/i:lounging/p:lounged/d:lounged/3:lounges
love,,"n. 爱, 恋爱, 爱情, 爱好, 性爱\nvt. 爱, 爱好, 爱慕\nvi. 爱",zk gk,670,390,p:loved/3:loves/d:loved/i:loving/s:loves
lovely,,"a. 可爱的, 有趣的",zk gk,1496,3284,t:loveliest/r:lovelier/s:lovelies
low,,"n. 低点, 低价, 低, 牛叫声\na. 低的, 消沉的, 低等的, 浅的, 卑贱的\nadv. 低下地, 谦卑地, 低\nvi. 牛叫",zk gk gre,318,360,r:lower/t:lowest/s:lows/d:lowed/i:lowing/p:lowed/3:lows
lower,,"a. 低的, 下级的, 下层的\nvi. 降低, 跌落, 减弱\nvt. 放下, 降下, 减弱, 贬低",cet4 ky,2932,2052,0:low/1:r/p:lowered/i:lowering/d:lowered/3:lowers
luck,,"n. 运气, 幸运, 好运, 侥幸\nvi. 靠好运成功",zk gk cet4 ky ielts,2598,2384,
lucky,,"a. 幸运的, 吉祥的, 好运的, 侥幸的",zk gk cet4 ky,2137,2126,r:luckier/t:luckiest
lunar,,"a. 阴历的, 月的, 微亮的(指光)\n[医] 月的, 银的",cet4 cet6 ky toefl ielts gre,12849,6871,
lunch,,n. 午餐,zk gk ielts,1615,1586,s:lunches/p:lunched/i:lunching/d:lunched/3:lunches
lung,,"n. 肺, 肺脏, 空地\n[医] 肺",gk cet4 cet6 ky toefl,3808,3247,s:lungs/i:lunging
luxury,,"n. 奢侈, 豪华\na. 奢侈的, 豪华的",cet4 cet6 ky toefl ielts gre,5235,5575,s:luxuries
machine,,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人\nvt. 以机器制造",zk gk ielts,761,1022,s:machines/d:machined/i:machining/p:machined/3:machines
mad,,"a. 疯狂的, 发疯的, 生气的, 愚蠢的, 狂欢的\nn. 狂怒",zk gk cet4 cet6 ky,2592,2572,r:madder/t:maddest/s:mads
madam,,"n. 女士, 夫人",zk cet4,6683,16977,s:madams
magazine,,"n. 杂志, 仓库, 弹盒, 胶卷盒\n[计] 卡片箱, 介质装卸程序",zk gk cet4 cet6 ky ielts,1479,1001,s:magazines
magic,,"n. 魔术, 魔法\na. 魔术的, 有魔力的, 不可思议的",zk gk cet4 cet6 ky toefl ielts,3949,3411,s:magics
mail,,"n. 邮件, 邮政, 邮递, 盔甲\nvt. 邮寄, 给...穿盔甲\n[计] 邮件",zk gk ielts,2485,2508,d:mailed/s:mails/i:mailing/p:mailed/3:mails
main,,"n. 主要部分, 干线, 体力, 力量, 主群组\na. 主要的, 重要的, 全力的\n[计] 主群组",zk gk cet4 cet6 ky ielts,376,888,
maintain,,"vt. 维持, 维修, 保持, 坚持, 供养, 主张\n[化] 维修",cet4 cet6 ky toefl ielts,825,922,d:maintained/i:maintaining/p:maintained/3:maintains
major,,"n. 主修课, 成年人, 陆军少校\na. 主要的, 较多的, 大部分的, 成年的, 严重的\nvi. 主修\n[计] 主要, 主要刻度",gk cet4 cet6 ky toefl ielts,392,444,s:majors/i:majoring/p:majored/3:majors/d:majored
majority,,"n. 多数, 大半\n[计] 多数逻辑",gk cet4 cet6 ky toefl ielts,989,1085,s:majorities
make,,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行\nvi. 开始, 前进, 增大, 被制造, 被处理\nn. 制造, 构造, 性情",zk gk ielts,43,45,d:made/p:made/i:making/3:makes
male,,"n. 男人, 雄性动物\na. 男性的, 雄性的, 有力的",gk cet4 ky ielts,1126,1530,s:males
man,,"n. 男人, 人类, 人\nvt. 为...配备人手, 操纵, 使振奋\n[计] 城域网, 手册",zk gk,91,94,s:men/d:manned/i:manning/p:manned/3:mans
manage,,"vi. 处理\nvt. 管理, 控制, 维持, 达成, 经营, 运用",zk gk cet4 cet6 ky,752,945,d:managed/p:managed/3:manages/i:managing
manager,,"n. 经理, 管理员, 管理器\n[计] 管理器",zk gk ielts,508,877,s:managers
mankind,,"n. 人类, 男性",gk cet4 cet6 ky,6480,7282,
manner,,"n. 样子, 礼貌, 风格\n[法] 方式, 方法, 样式",gk cet4 cet6 ky,1366,1818,s:manners
many,,"n. 多数, 多数人\na. 许多的\npron. 许多",zk gk,98,99,
map,,"n. 地图, 天体图, 映像\nvt. 映射, 绘制...地图, 计划\n[计] 实用程序, 映射, 制造自动化协议",zk gk toefl ielts,1681,1542,s:maps/d:mapped/i:mapping/p:mapped/3:maps
marathon,,"n. 马拉松, 耐力的考验",gk cet6,7224,6448,s:marathons
marble,,"n. 大理石, 石弹, 雕刻品\na. 大理石的, 冷酷无情的, 有大理石花纹的",gk cet4 cet6 ky toefl ielts gre,4199,4819,s:marbles/i:marbling/p:marbled/3:marbles/d:marbled
march,,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界\nvi. 进军, 前进, 交界\nvt. 使行军, 使行进",zk gk toefl ielts,695,3483,p:marched/s:marches/i:marching/d:marched/3:marches
mark,,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线\nvt. 做标记于, 留意, 打分数, 表明, 标志, 记录\nvi. 作记号, 记得分\n[计] 标志; 标记; 传号",zk gk cet4 ky,1255,1683,s:marks/d:marked/i:marking/3:marks/p:marked
market,,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路\nvt. 在市场上交易, 使上市, 销售\nvi. 在市场上买卖",zk gk ielts,253,402,s:markets/d:marketed/p:marketed/i:marketing/3:markets
marriage,,"n. 婚姻, 结婚, 婚礼, 合并\n[医] 婚姻, 结婚",zk gk cet4 cet6 ky,1154,1011,s:marriages
married,,"a. 已婚的, 婚姻的\n[法] 结了婚的, 有配偶的, 夫妇的",gk cet4 cet6 ky,1742,1610,0:marry/1:pd/d:married/p:married
marry,,"vt. 与...结婚, 娶, 嫁\nvi. 结婚",zk gk cet4 ky,1217,1333,p:married/d:married/i:marrying/3:marries
mass,,"n. 块, 大多数, 质量, 大量, 群众, 弥撒\na. 群众的, 大规模的, 整个的\nvt. 使集合, 集中\nvi. 聚集",gk cet4 cet6 ky toefl ielts,1857,1989,s:masses/i:massing/d:massed/p:massed/3:masses
massive,,"a. 大而重的, 宽大的, 宏伟的\n[医] 大块的, 整块的, 大量的",cet4 cet6 ky toefl ielts gre,2037,1996,
master,,"n. 主人, 硕士, 大师, 母机\na. 主人的, 主要的\nvt. 征服, 控制, 精通",zk gk cet4 cet6 ky ielts,1224,1883,s:masters/d:mastered/i:mastering/p:mastered/3:masters
match,,"n. 比赛, 火柴, 对手\nvt. 使相配, 使比赛, 与...竞争\nvi. 结婚, 相配\n[计] 比较",zk gk toefl ielts,1097,1972,s:matches/d:matched/3:matches/i:matching/p:matched
material,,"n. 材料, 物资, 素材, 布料, 资料\na. 物质的, 肉体的, 重要的",gk cet4 cet6 ky ielts,499,641,s:materials
math,,n. 数学,zk,36820,2983,
matter,,"n. 事件, 物质, 原因, 素材, 实体, 重要\nvi. 有关系",gk,370,528,s:matters/3:matters/p:mattered/d:mattered/i:
mature,,"a. 成熟的, 到期的, 充分考虑的\nvt. 使成熟\nvi. 成熟, 到期",gk cet4 cet6 ky toefl ielts gre,4122,5133,3:matures/d:matured/i:maturing/p:matured/r:maturer
maximum,,"n. 极点, 最大量, 极大\na. 最高的, 最大的, 最大极限的\n[计] 最大值",gk cet4 cet6 ky toefl ielts,2427,3603,s:maxima
may,,"n. 五月\naux. 愿能, 可以, 愿意",zk gk ielts,83,119,
maybe,,"adv. 也许, 大概\nn. 可能性",zk gk,955,383,
me,,pron. 我,zk gk,15312,61,s:mes
meal,,"n. 一餐, 膳食, 粗粉\nvi. 进餐",zk gk ielts,1415,1710,s:meals
mean,,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的\nvt. 意谓, 想要, 意欲, 预定\nvi. 用意, 有意义\nn. 平均数, 中间, 中庸",zk gk toefl ielts gre,121,154,3:means/p:meant/d:meant/i:meaning
meaning,,"n. 意义, 含义, 目的, 意图\na. 意味深长的",zk gk,1226,1608,0:mean/1:i/s:meanings/i:meaning
means,,"n. 方法, 手段, 工具, 财产, 收入\n[经] 方法, 手段, 工具; 意谓",gk cet4 cet6 ky toefl ielts,1033,0,0:mean/1:3
meanwhile,,"n. 其时, 其间\nadv. 同时, 于此时",gk cet4 cet6 ky,1886,1847,
measure,,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法\nvt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量\nvi. 度量",gk cet4 cet6 ky ielts,889,941,s:measures/d:measured/i:measuring/p:measured/3:measures
meat,,"n. 肉, 餐, 食物\n[经] 肉类",zk gk ielts,2283,1788,s:meats
mechanic,,"n. 机械工, 技工\na. 手工的",cet4 cet6 ky,4979,4260,s:mechanics
medal,,"n. 奖牌, 勋章\nvt. 授勋予",gk cet4 cet6 ky ielts gre,4212,3451,s:medals
media,,n. 媒体\n[计] 媒质,gk cet4 cet6 toefl ielts,0,757,
medical,,"n. 医生, 体格检查\na. 医学的, 内科的, 药的",zk gk cet4 cet6 ky ielts,1068,646,s:medicals
medicine,,"n. 药, 医学, 内科\nvt. 给...用药",zk gk toefl ielts,2476,1473,s:medicines
medium,,"n. 媒体, 方法, 媒介\na. 半生熟的, 中间的\n[计] 媒体, 中",gk cet4 cet6 ky toefl ielts gre,951,3241,s:mediums
meet,,"n. 会, 集会\na. 适宜的, 合适的\nvt. 遇见, 引见, 认识, 满足, 对付\nvi. 相遇, 接触",zk gk gre,259,288,p:met/d:met/i:meeting/3:meets
meeting,,"n. 会议, 会面\n[法] 会议, 会谈, 集会",zk gk ielts,457,772,0:meet/1:i/s:meetings/i:meeting
member,,"n. 成员, 会员\n[医] │肢, 肢体",zk gk,182,285,s:members
membership,,"n. 会员的资格, 全体会员, 会员数目\n[法] 会员资格, 成员资格, 会籍",cet6 ky ielts,1771,3085,s:memberships
memorial,,"n. 纪念物, 请愿书\na. 记念的, 记忆的",gk cet4 cet6 ky toefl gre,3986,4564,s:memorials
memory,,"n. 记忆, 记忆力, 回忆, 纪念, 存储\nn. 内存\n[计] 存储器, 内存, 查看内存实用程序",zk gk cet4 cet6 ky toefl,979,891,s:memories
mental,,"a. 心智的, 精神病的, 心理的, 颏的\nn. 精神病患者",gk cet4 cet6 ky toefl ielts,1620,1584,
mentally,,"adv. 心理上, 精神上, 智力上\n[法] 精神上, 智力上",gk,3531,4365,
mention,,"n. 提到, 言及, 陈述\nvt. 提到, 提及",zk gk toefl,902,971,d:mentioned/p:mentioned/i:mentioning/3:mentions/s:mentions
menu,,"n. 菜单, (功能)选择单\n[计] 菜单",zk gk toefl,3553,3086,s:menus
merchant,,"n. 商人, 店主\na. 商业的, 商人的",gk cet4 cet6 ky toefl,2755,4126,s:merchants/i:merchanting
mercy,,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运\n[法] 权宜处置权, 决定权, 宽恕",gk cet4 cet6 ky ielts,4991,5244,s:mercies
merely,,adv. 只,gk cet4 cet6 ky,1273,1988,
merry,,"a. 快乐的, 愉快的, 嬉戏作乐的",gk cet4 cet6 ky,7649,7420,r:merrier/t:merriest
mess,,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境\nvt. 将...弄糟, 妨碍, 使紊乱, 使就餐\nvi. 陷入困境, 搞乱, 用膳",gk cet4 cet6 ky ielts,3437,3381,i:messing/d:messed/p:messed/s:messes/3:messes
message,,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词\nvt. 通知\nvi. 通报, 报告, 报信\n[计] 报文; 消息; 信息",zk gk cet4 cet6 ky,1120,807,s:messages/i:messaging/p:messaged/3:messages/d:messaged
metal,,"n. 金属, 金属制品, 合金, 本质, 质料\na. 金属制的\nvt. 以金属覆盖",zk gk cet4 cet6 ky ielts,1668,1574,s:metals/i:metaling/p:metaled/3:metals/d:metaled
meter,,"n. 米, 公尺, 仪表, 计量器\nvt. 以仪表计量",,7042,3024,s:meters/d:metered/3:meters/i:metering/p:metered
method,,"n. 方法, 办法, 条理, 秩序\n[医] [方]法",zk gk cet4 cet6 ky ielts,561,998,s:methods
mexican,,"n. 墨西哥人, 墨西哥语\na. 墨西哥的",gk,7301,2248,s:mexicans
mexico,,n. 墨西哥,gk,4177,0,
microscope,,n. 显微镜\n[化] 显微镜,gk cet4 cet6 ky toefl gre,7274,8309,s:microscopes/i:microscoping
middle,,"n. 中央, 中间, 腰部\na. 中央的, 中庸的, 中间的",zk gk,1360,988,s:middles/i:middling/p:middled/3:middles/d:middled
midnight,,"n. 午夜, 子夜, 半夜\na. 午夜的, 半夜的",gk cet4 cet6 ielts,3635,3461,s:midnights
might,,"n. 力量, 权力\naux. 可能, 也许",zk gk cet4 ky ielts,138,175,
mild,,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的\n[医] 轻的, 缓和的",gk cet4 cet6 ky toefl,3774,3819,r:milder/t:mildest/s:milds
mile,,"n. 英里, 很大距离\n[机] 英里, 哩",zk gk cet4 cet6 ky,772,0,s:miles
military,,"n. 军队\na. 军事的, 军人的, 适于战争的",cet4 cet6 ky toefl,922,474,
milk,,"n. 奶, 乳状物\nvt. 挤乳, 榨取\nvi. 产乳",zk gk ielts gre,1881,2033,d:milked/i:milking/s:milks/p:milked/3:milks
millimetre,,n. 毫米\n[机] 公厘,cet4 cet6,9848,0,s:millimetres
million,,"n. 百万, 无数\nnum. 百万",gk ielts,336,222,
mind,,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意\nvi. 介意, 注意, 留心\nvt. 注意, 留意, 专心于, 照看, 介意",zk gk ielts,385,469,s:minds/d:minded/i:minding/p:minded/3:minds
mine,,"n. 矿, 矿藏, 地雷\nvt. 挖掘, 开采, 在...布雷, 破坏\nvi. 开矿, 埋设地雷\npron. 我的",gk toefl ielts,1972,2236,s:mines/i:mining/d:mined/p:mined/3:mines
mineral,,"n. 矿物, 无机物, 苏打水\na. 矿物的, 似矿物的",gk toefl,3212,4583,s:minerals
minimum,,"a. 最小的, 最低的\nn. 最小值\n[计] 最小值",gk cet4 cet6 ky toefl ielts,2715,3633,s:minima
minister,,"n. 部长, 牧师, 公使\nvi. 服侍, 救助, 主持宗教仪式",gk cet4 cet6 ky ielts,294,1910,s:ministers/i:ministering/p:ministered/3:ministers/d:ministered
ministry,,"n. 部, 内阁, 服务\n[经] 部",gk cet4 cet6 ky toefl,1717,4242,s:ministries
minor,,"n. 未成年人, 副修科目\na. 较小的, 二流的, 未成年的\nvi. 副修\n[计] 次要",cet4 cet6 ky,1912,2610,s:minors
minority,,"n. 少数, 未成年, 少数民族\na. 少数的, 属于少数派的",gk cet4 cet6 ky toefl ielts,2106,1633,s:minorities
minute,,"n. 分, 分钟, 片刻, 备忘录, 笔记\nvt. 记录, 摘录, 测定时间\na. 微小的, 详细的",zk gk toefl ielts,348,308,s:minutes/3:minutes
mirror,,"n. 镜子, 写真, 典范\nvt. 反映, 映出",zk gk cet4 cet6 ky,2086,1853,s:mirrors/d:mirrored/p:mirrored/3:mirrors/i:mirroring
miss,,"n. 失误, 避免, 失败, 小姐\nvt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念\nvi. 失败, 击不中",zk gk,919,833,d:missed/p:missed/i:missing/3:misses/s:misses
missile,,"n. 发射物, 导弹, 飞弹, 火箭\na. 可发射的",gk cet4 cet6 ky ielts gre,3749,2367,s:missiles
missing,,"a. 不见的, 缺少的\n[法] 行踪不明的, 失踪的, 遗失的",cet4 cet6 ky,4261,3499,0:miss/1:i/i:missing
mission,,"n. 任务, 代表团, 使命, 传教团\nvt. 派遣, 向...传教",cet4 cet6 ky toefl ielts,2599,1095,s:missions
mist,,"n. 雾, 迷蒙, 朦胧不清\nvt. 使模糊, 使蒙上雾\nvi. 变模糊, 下雾",gk cet4 cet6 ky ielts,4784,5967,s:mists/p:misted/i:misting/d:misted/3:mists
mistake,,"n. 错误, 误会\nvi. 犯错, 误认\nvt. 误解, 弄错\n[计] 错误",zk gk,1751,1430,s:mistakes/d:mistaken/i:mistaking/p:mistook/3:mistakes
mix,,"n. 混合物, 混乱, 糊涂\nvt. 使混合, 弄混, 使结合, 混淆\nvi. 相混合, 交往, 参与",gk cet4 ky,2156,1759,d:mixed/p:mixed/i:mixing/s:mixes/3:mixes
mixture,,"n. 混合, 混淆, 混合物\n[化] 混合物",gk cet4 cet6 ky ielts,2426,2413,s:mixtures
mm,,毫米\n[计] 毫米,gk,266,15832,
mobile,,"a. 移动的, 易变的, 机动的\nn. 活动物体",gk cet4 cet6 ky toefl ielts gre,4468,4686,s:mobiles
mode,,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚\n[计] 方式; DOS外部命令:设定各种设备命令",cet4 cet6 ky toefl ielts gre,2219,2793,s:modes
model,,"n. 模型, 模范, 模特儿\na. 模范的, 作模型用的\nvi. 做模型, 做模特儿\nvt. 使模仿, 塑造\n[计] 模型",zk gk cet4 ky ielts,551,504,s:models/d:modelled/i:modelling/p:modelled/3:models
modern,,"n. 现代人, 有思想的人\na. 现代的, 时髦的",zk gk ielts,762,1046,s:moderns
modest,,"a. 谦逊的, 羞怯的, 端庄的, 适度的\n[经] 适当的",gk cet4 cet6 ky toefl ielts gre,3176,3101,
moment,,"n. 片刻, 瞬间, 重要, 阶段, 力矩\n[医] 片刻, 瞬间, 时机, 因素, 矩",zk gk toefl gre,361,369,s:moments
monday,,n. 星期一,zk gk ielts,1679,0,s:mondays
money,,"n. 金钱, 一笔款, 财富, 货币, 金额\n[经] 货币, 金钱, 财产",zk gk ielts,233,232,s:moneys
monitor,,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物\nv. 监视, 监听, 监督\n[计] 监视器, 监视程序; 监视",zk gk cet4 cet6 ky toefl ielts,2431,2349,d:monitored/i:monitoring/s:monitors/3:monitors/p:monitored
monkey,,"n. 猴子, 猿, 打桩锤\nvi. 淘气, 胡闹\nvt. 嘲弄",zk gk cet4 ky,5405,4558,s:monkeys/i:monkeying/p:monkeyed/3:monkeys/d:monkeyed
month,,n. 月\n[经] 月,zk gk ielts,214,236,s:months
monthly,,"n. 月刊\na. 每月的, 每月一次的",cet4 ky,3652,3520,s:monthlies
